,state,fips,cases,deaths,iso_3166_2_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,percentchangehours,percentchangebusinesses,cases.nyt,deaths.nyt,positive,negative,hospitalizedCurrently,deaths.ctp,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,ST,State.Abbreviation,State.FIPS.Code,State.of.emergency,Date.closed.K.12.schools,Closed.Bars,Religious.Gatherings.Exempt.Without.Clear.Social.Distance.Mandate.,Initially.reopen.restaurants.for.outdoor.dining.only,Reopened.hair.salons.barber.shops,Reopen.non.essential.construction,Reopen.Religious.gatherings,Reopen.non.essential.retail,Reopen.bars,Reopen.Childcare,Face.mask.mandate.enforced.by.fines,Face.mask.mandate.enforced.by.criminal.charge.citation,No.legal.enforcement.of.face.mask.mandate,Lift.Eviction.Moratorium,Prior.to.pandemic..no.state.unemployment.waiting.period..or.date.waiting.period.waived.not.found,Waive.work.search.requirement.for.unemployment.insurance,Expand.eligibility.of.unemployment.insurance.to.anyonewho.is.quarantined.and.or.taking.care.of.someone.who.is.quarantined,Expand.eligibility.to.high.risk.individuals.in.preventative.quarantine,Expand.eligibility.of.unemployment.insurance.to.those.who.have.lost.childcare.school.closures,Extend.the.amount.of.time.an.individual.can.be.on.unemployment.insurance,Weekly.unemployment.insurance.maximum.amount..dollars.,Weekly.unemployment.insurance.maximum.amount.with.extra.stimulus..through.July.21..2020...dollars.,Unemployment.insurance.maximum.duration..weeks.,Unemployment.insurance.maximum.duration.with.Pandemic.Emergency.Unemployment.Compensation.CARES.extension..weeks.,SNAP.Waiver.Emergency.Allotments.to.Current.SNAP.Households,SNAP.Waiver.Pandemic.EBT,SNAP.Waiver.Temporary.Suspension.of.Claims.Collection,X2020.Q1.SNAP.ABAWD.Time.Limit.Waiver,Modify.Medicaid.requirements.with.1135.waivers..date.of.CMS.approval.,Reopened.ACA.enrollment.using.a.special.enrollment.period,State.previously.allowed.audio.only.telehealth,Allow.audio.only.telehealth,Allow.expand.Medicaid.telehealth.coverage,State.had.CHIP.premium.non.payment.lock.out.period.as.of.January.2019,Supend.CHIP.premium.non.payment.lock.outs,Suspended.elective.medical.dental.procedures,Made.Effort.to.Limit.Abortion.Access,Use.of.telemedicine.for.schedule.II.V.prescriptions,Exceptions.to.emergency.oral.prescriptions,Paid.sick.leave,Medicaid.Expansion,Population.density.per.square.miles,Population.2018,Square.Miles,Number.Homeless..2019.,Percent.Unemployed..2018.,Percent.living.under.the.federal.poverty.line..2018.,Percent.at.risk.for.serious.illness.due.to.COVID,All.cause.deaths.2018,Mental.health.professionals.per.100.000.population.in.2019,party,voteshare,z.mask,mask_percent
0,Alabama,1.0,116.673258,503.59512195121954,[nan 'US-AL'],-11.726256983240223,2.4916201117318435,31.748603351955307,-5.35754189944134,-23.810055865921786,7.782122905027933,-35.0945945945946,-28.213333333333335,29203.733766233767,670.577922077922,28536.732919254657,241717.1265822785,750.9861111111111,685.7712418300654,660.304347826087,4463.819875776398,265750.63354037266,265749.8136645963,5124.124223602485,265749.8136645963,11.75776397515528,77.36645962732919,0.0,0.0,0.0,0.0,0.0,AL,AL,1.0,1,1,1,0.0,0.0,1,1,1,1,1,1,0.0,0.0,1.0,1,0.0,1.0,1.0,0.0,0.0,0.0,275.0,875.0,26.0,39.0,1,1,1,0.0,1,1,0.0,1,1,0.0,0.0,1,1.0,1,1,0.0,0.0,93.24000000000008,4887871.0,52420.0,3261.0,5.600000000000004,16.800000000000058,43.10000000000016,54352.0,100.70000000000039,1,0.6208309236440923,-3.620000000000004,38.0
1,Alaska,2.0,99.20083557,8.721951219512196,[nan 'US-AK'],-2.9329608938547485,7.223463687150838,97.75280898876404,-14.88268156424581,-23.011173184357542,6.653631284916201,-32.0,-22.92,1084.0064516129032,9.780645161290323,1026.6975308641975,77233.85802469136,22.51260504201681,11.203703703703704,30.055555555555557,1796.6172839506173,78260.97530864198,78260.55555555556,1826.6728395061727,78260.55555555556,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,AK,AK,2.0,1,1,1,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,370.0,970.0,26.0,39.0,1,1,1,1.0,1,1,0.0,1,1,0.0,0.0,1,1.0,1,1,0.0,1.0,1.1100000000000059,737438.0,665384.0,1907.0,6.799999999999974,10.900000000000043,32.80000000000012,4453.0,429.89999999999924,1,0.512815120775372,-0.25,42.0
2,Arizona,4.0,129.9784297,949.2682926829268,[nan 'US-AZ'],-21.212290502793294,-6.5307262569832405,-10.268156424581006,-26.022346368715084,-30.41340782122905,10.050279329608939,-37.770270270270274,-27.733333333333334,41550.880597014926,969.3283582089553,52047.67682926829,277280.18902439025,1670.0967741935483,1281.5032258064516,1169.0182926829268,5340.408536585366,329334.60975609755,329327.8658536585,6509.426829268293,329327.8658536585,26.96951219512195,125.0670731707317,0.0,0.0,0.0,0.0,0.0,AZ,AZ,4.0,1,1,1,1.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,1.0,0.0,240.0,840.0,26.0,39.0,1,1,1,1.0,1,1,0.0,1,1,1.0,1.0,1,0.0,1,1,1.0,1.0,62.90999999999988,7171646.0,113990.0,10007.0,5.399999999999992,14.0,39.10000000000015,59282.0,132.90000000000043,1,0.4867161647232089,-7.430000000000006,36.0
3,Arkansas,5.0,128.9831992,135.00975609756097,[nan 'US-AR'],-7.5363128491620115,5.5307262569832405,67.68156424581005,-6.301675977653631,-22.56983240223464,6.391061452513966,-36.2027027027027,-26.36,14115.705128205129,177.5,13842.641975308641,172003.8148148148,219.0,192.68493150684932,323.4074074074074,3310.259259259259,185851.45061728396,185846.45679012345,3633.6666666666665,185846.45679012345,3.623456790123457,22.012345679012345,0.0,0.0,0.0,0.0,0.0,AR,AR,5.0,1,1,1,0.0,0.0,1,1,1,1,1,1,1.0,1.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,451.0,1051.0,20.0,33.0,1,1,1,0.0,1,1,0.0,1,1,0.0,0.0,1,1.0,1,1,0.0,1.0,56.670000000000066,3013825.0,53179.0,2717.0,4.5,17.199999999999942,43.5,32336.0,231.59999999999914,1,0.6057410216382814,-2.079999999999997,39.0
4,California,6.0,101.2907181,3162.0780487804877,[nan 'US-CA'],-31.519553072625698,-7.145251396648045,-5.312849162011173,-37.212290502793294,-33.3463687150838,12.960893854748603,-45.82432432432432,-36.38666666666666,133082.03465346535,3220.7772277227723,163704.96341463414,2535358.2439024393,5407.212765957447,4176.025641025641,3664.768292682927,54604.03048780488,2704033.3292682925,2699063.2073170734,58268.79878048781,2699063.2073170734,67.04878048780488,0.0,0.0,0.0,0.0,0.0,0.0,CA,CA,6.0,1,1,1,0.0,0.0,1,1,1,1,1,1,0.0,0.0,1.0,1,0.0,1.0,1.0,0.0,0.0,0.0,450.0,1050.0,26.0,39.0,1,1,1,1.0,1,1,0.0,1,1,0.0,0.0,1,0.0,1,1,1.0,1.0,241.6500000000009,39557045.0,163695.0,151278.0,5.5,12.800000000000015,33.30000000000012,268818.0,356.1999999999986,0,0.31617106538439504,18.159999999999954,52.0
5,Colorado,8.0,100.1665479,849.009756097561,[nan 'US-CO'],-19.22905027932961,-2.335195530726257,48.055865921787706,-31.547486033519554,-31.625698324022345,10.184357541899441,-40.0945945945946,-31.666666666666668,22802.012345679013,1075.2345679012346,22670.460122699387,184613.0490797546,498.0068493150685,1017.1233766233767,320.36196319018404,3442.5030674846626,207284.25153374232,266509.46794871794,5136.748466257669,207283.50920245398,10.815950920245399,41.104294478527606,0.0,0.0,0.0,0.0,0.0,CO,CO,8.0,1,1,1,1.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,618.0,1218.0,26.0,39.0,1,1,1,1.0,1,1,0.0,1,1,0.0,0.0,1,0.0,1,1,0.0,1.0,54.719999999999885,5695564.0,104094.0,9619.0,3.899999999999986,9.599999999999964,31.30000000000011,38526.0,356.40000000000026,0,0.4325139737143086,5.13,49.0
6,Connecticut,9.0,98.49376474,2194.790243902439,[nan 'US-CT'],-18.8268156424581,-6.016759776536313,65.43016759776536,-28.692737430167597,-31.05586592178771,11.150837988826815,-48.67567567567568,-36.64,32027.01886792453,2829.761006289308,31916.658385093167,276053.79375,632.7123287671233,3047.2953020134228,316.1304347826087,5508.031055900621,306255.88198757765,306255.83229813667,5824.16149068323,306255.83229813667,27.658385093167702,68.41614906832298,0.0,0.0,0.0,0.0,0.0,CT,CT,9.0,1,1,1,0.0,1.0,1,1,1,1,1,1,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,649.0,1249.0,26.0,39.0,1,1,1,1.0,1,1,0.0,1,1,0.0,0.0,1,0.0,1,1,1.0,1.0,644.5399999999972,3572665.0,5543.0,3033.0,5.5,10.40000000000004,36.0,31230.0,396.8999999999997,0,0.4092691437881499,2.1299999999999963,47.0
7,Delaware,10.0,160.5464473,231.79024390243902,[nan 'US-DE'],-14.949720670391061,-3.782122905027933,46.65584415584416,-25.575418994413408,-29.05586592178771,10.30167597765363,-40.270270270270274,-35.8,7832.166666666667,304.61538461538464,7635.808641975309,63159.654320987655,135.6083916083916,334.875,100.8641975308642,1179.783950617284,70796.25308641975,70795.46296296296,1280.648148148148,70795.46296296296,3.6604938271604937,0.0,0.0,0.0,0.0,0.0,0.0,DE,DE,10.0,1,1,1,1.0,0.0,1,1,1,1,1,1,0.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,400.0,1000.0,26.0,39.0,1,1,1,0.0,1,1,1.0,1,1,0.0,0.0,1,0.0,1,1,0.0,1.0,388.58000000000135,967171.0,2489.0,921.0,5.700000000000022,12.5,41.3000000000001,9433.0,262.59999999999906,0,0.4192282433931923,-0.7299999999999995,41.0
8,District of Columbia,11.0,51.1198568,267.37560975609756,[nan 'US-DC'],-46.11731843575419,-19.87150837988827,-33.45810055865922,-57.642458100558656,-46.04469273743017,16.664804469273744,-56.513513513513516,-45.29333333333334,6812.96875,342.59375,6766.963190184049,60042.89570552147,223.47457627118644,371.81208053691273,80.47852760736197,1369.2085889570553,66810.41104294479,66809.85889570552,1449.6871165644172,66809.85889570552,3.644171779141104,0.0,0.0,0.0,0.0,0.0,0.0,DC,DC,11.0,1,1,1,0.0,1.0,1,1,1,1,1,1,1.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,444.0,1044.0,26.0,39.0,1,1,1,1.0,1,1,0.0,1,1,0.0,0.0,1,0.0,1,1,1.0,1.0,11496.810000000043,702455.0,61.10000000000022,6521.0,7.5,16.19999999999995,31.800000000000114,5008.0,508.60000000000156,0,0.04070383108054078,3.9299999999999855,56.0
9,Florida,12.0,122.9073738,2054.048780487805,[nan 'US-FL'],-24.670391061452513,-10.441340782122905,-21.45810055865922,-38.53631284916201,-29.508379888268156,10.636871508379889,-42.25675675675676,-34.013333333333335,127841.46987951807,2536.873493975904,132757.96951219512,1169727.012195122,8101.527777777777,2803.433121019108,3434.6524390243903,21934.48780487805,1303992.6768292682,1302484.981707317,25369.14024390244,1302484.981707317,56.5609756097561,204.6829268292683,0.0,0.0,0.0,0.0,0.0,FL,FL,12.0,1,1,1,1.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,275.0,875.0,12.0,25.0,1,1,1,0.0,1,1,0.0,1,1,1.0,0.0,1,0.0,1,1,0.0,0.0,323.9000000000009,21299325.0,65758.0,28328.0,5.20000000000002,13.599999999999948,42.10000000000016,205426.0,160.5,1,0.4902194141659067,1.0600000000000018,44.0
